Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
bro @kaesangp sehat selalu.. pimpin psi dengan gagah dan guncangkan dunia..,bukan ujaran kebencian,bro sehat selalu pimpin psi dengan gagah dan guncangkan dunia,"['bro', 'sehat', 'selalu', 'pimpin', 'psi', 'dengan', 'gagah', 'dan', 'guncangkan', 'dunia']",bro sehat pimpin psi gagah guncangkan dunia,bro sehat pimpin psi gagah guncang dunia,1
mas ketum @kaesangp mohon dibantu speak up dong mas terkait kebakaran lahan di sumsel terutama kota palembang. kami selaku warga lokal sangat terdampak karena kabut asap yang kian parah. mohon bantuannya ke instansi terkait semoga menjadi perhatian pemerintah pusat. mohon bantuannya 🙏,bukan ujaran kebencian,kakak ketua umum mohon dibantu speak atas dong kakak terkait kebakaran lahan di sumatra selatan terutama kota palembang kami selaku warga lokal sangat terdampak karena kabut asap yang kian parah mohon bantuannya ke instansi terkait semoga menjadi perhatian pemerintah pusat mohon bantuannya,"['kakak', 'ketua', 'umum', 'mohon', 'dibantu', 'speak', 'atas', 'dong', 'kakak', 'terkait', 'kebakaran', 'lahan', 'di', 'sumatra', 'selatan', 'terutama', 'kota', 'palembang', 'kami', 'selaku', 'warga', 'lokal', 'sangat', 'terdampak', 'karena', 'kabut', 'asap', 'yang', 'kian', 'parah', 'mohon', 'bantuannya', 'ke', 'instansi', 'terkait', 'semoga', 'menjadi', 'perhatian', 'pemerintah', 'pusat', 'mohon', 'bantuannya']",kakak ketua mohon dibantu speak kakak terkait kebakaran lahan sumatra selatan kota palembang warga lokal terdampak kabut asap kian parah mohon bantuannya instansi terkait semoga perhatian pemerintah pusat mohon bantuannya,kakak ketua mohon bantu speak kakak kait bakar lahan sumatra selatan kota palembang warga lokal dampak kabut asap kian parah mohon bantu instansi kait moga perhati perintah pusat mohon bantu,1
2024 anti banteng,bukan ujaran kebencian,anti banteng,"['anti', 'banteng']",anti banteng,anti banteng,1
"@kaesangp bro, dirimu ketum psi kok raono postingan apapun soal psi. opo asline ra pengin bro?",bukan ujaran kebencian,bro dirimu ketua umum psi kok raono postingan apapun soal psi apa aslinya ra ingin bro,"['bro', 'dirimu', 'ketua', 'umum', 'psi', 'kok', 'raono', 'postingan', 'apapun', 'soal', 'psi', 'apa', 'aslinya', 'ra', 'ingin', 'bro']",bro dirimu ketua psi raono postingan apapun psi aslinya ra bro,bro diri ketua psi raono postingan apa psi asli ra bro,1
"anda lelah bikin konten ? 
bisa melipir ke ig kami ya bun 😘",bukan ujaran kebencian,kamu lelah bikin konten bisa melipir ke instagram kami ya ibu,"['kamu', 'lelah', 'bikin', 'konten', 'bisa', 'melipir', 'ke', 'instagram', 'kami', 'ya', 'ibu']",lelah bikin konten melipir instagram ya,lelah bikin konten melipir instagram ya,1
"wah di luar du gaan. anda sangat ambisius, dan lupa yg mendukung kamu😂😂😂 met sewu aq hanya tertawa 😂😂",bukan ujaran kebencian,wah di luar du gaan kamu sangat ambisius dan lupa yang mendukung kamu selamat sewu aku hanya tertawa,"['wah', 'di', 'luar', 'du', 'gaan', 'kamu', 'sangat', 'ambisius', 'dan', 'lupa', 'yang', 'mendukung', 'kamu', 'selamat', 'sewu', 'aku', 'hanya', 'tertawa']",du gaan ambisius lupa mendukung selamat sewu tertawa,du gaan ambisius lupa dukung selamat sewu tertawa,1
kono2 karepmu mumpung bapakmu,ujaran kebencian,kono terserah kamu mumpung bapakmu,"['kono', 'terserah', 'kamu', 'mumpung', 'bapakmu']",kono terserah mumpung bapakmu,kono serah mumpung bapak,0
"mas kaesang, konsep psi itu apa ya??? sampai sampeyan bersedia menerima pinangan dari psi???",bukan ujaran kebencian,kakak kaesang konsep psi itu apa ya sampai kamu bersedia menerima pinangan dari psi,"['kakak', 'kaesang', 'konsep', 'psi', 'itu', 'apa', 'ya', 'sampai', 'kamu', 'bersedia', 'menerima', 'pinangan', 'dari', 'psi']",kakak kaesang konsep psi ya bersedia menerima pinangan psi,kakak kaesang konsep psi ya sedia terima pinang psi,1
"psi bikin acara podcast yg skrg digemari kaum milenial, undang narasumber2 dari tokoh nasional yg tdk terafiliasi dg parpol tp punya byk penggemarnya seperti dahlan iskan, isteri gusdur, mantan isteri ahok, luhut bp, mahfud md, dst. bisa juga tokoh agama yg nasionalis seperti gus miftah, habib lutfhi, gusmus, habib jafar, dst. dan undang para ketua senat mahasiswa se indonesia secara  bergantian. bisa juga para selebriti influencer dsb. tolong agar usulan kami diakomodir",bukan ujaran kebencian,psi bikin acara podcast yang sekarang digemari kaum milenial undang narasumber dari tokoh nasional yang tidak terafiliasi dengan partai politik tetapi punya banyak penggemarnya seperti dahlan iskan isteri gusdur mantan isteri ahok luhut bp mahfud md dst bisa juga tokoh agama yang nasionalis seperti gus miftah habib lutfhi gusmus habib jafar dst dan undang para ketua senat mahasiswa se indonesia secara bergantian bisa juga para selebriti influencer dsb tolong agar usulan kami diakomodir,"['psi', 'bikin', 'acara', 'podcast', 'yang', 'sekarang', 'digemari', 'kaum', 'milenial', 'undang', 'narasumber', 'dari', 'tokoh', 'nasional', 'yang', 'tidak', 'terafiliasi', 'dengan', 'partai', 'politik', 'tetapi', 'punya', 'banyak', 'penggemarnya', 'seperti', 'dahlan', 'iskan', 'isteri', 'gusdur', 'mantan', 'isteri', 'ahok', 'luhut', 'bp', 'mahfud', 'md', 'dst', 'bisa', 'juga', 'tokoh', 'agama', 'yang', 'nasionalis', 'seperti', 'gus', 'miftah', 'habib', 'lutfhi', 'gusmus', 'habib', 'jafar', 'dst', 'dan', 'undang', 'para', 'ketua', 'senat', 'mahasiswa', 'se', 'indonesia', 'secara', 'bergantian', 'bisa', 'juga', 'para', 'selebriti', 'influencer', 'dsb', 'tolong', 'agar', 'usulan', 'kami', 'diakomodir']",psi bikin acara podcast digemari kaum milenial undang narasumber tokoh nasional terafiliasi partai politik penggemarnya dahlan iskan isteri gusdur mantan isteri ahok luhut bp mahfud md dst tokoh agama nasionalis gus miftah habib lutfhi gusmus habib jafar dst undang ketua senat mahasiswa indonesia bergantian selebriti influencer dsb tolong usulan diakomodir,psi bikin acara podcast gari kaum milenial undang narasumber tokoh nasional afiliasi partai politik gemar dahlan iskan isteri gusdur mantan isteri ahok luhut bp mahfud md dst tokoh agama nasionalis gus miftah habib lutfhi gusmus habib jafar dst undang ketua senat mahasiswa indonesia ganti selebriti influencer dsb tolong usul diakomodir,1
anggite bakal menang? ini gak se instan kelakuanmu,ujaran kebencian,anggite akan menang ini tidak se instan kelakuanmu,"['anggite', 'akan', 'menang', 'ini', 'tidak', 'se', 'instan', 'kelakuanmu']",anggite menang instan kelakuanmu,anggite menang instan laku,0
"suatu hari,abdullah bin umar,anak dari umar bin khattab,pernah memiliki sebuah unta.

abdullah bin umar membeli sebuah unta yang teramat kurus.setelah itu,ia menggembalakannya di padang rumput di madinah.

pada suatu hari, umar bin khattab sedang pergi menjalankan sebuah pemeriksaan.lalu,ia melihat seekor unta yang sangat gemuk.umar bin khattab pun bertanya siapa pemilik unta itu kepada petugas yang ada di sana.

terkejutlah umar bin khattab setelah mengetahui bahwa pemilik unta itu adalah putranya sendiri,abdullah bin umar.

bukannya senang, umar bin khattab justru merasa geram. umar pun mengutus salah satu anak buahnya untuk memanggil abdullah.

begitu abdullah tiba di hadapan sang ayah,umar bin khattab pun menanyakan tentang unta gemuk milik sang anak.abdullah kemudian menceritakan bahwa unta itu ia beli dengan uangnya sendiri,yang kemudian diperdagangkan agar bisa mendapat keuntungan dari orang lain. 

setelah mendengar penjelasan abdullah,umar segera memerintahkan sang anak untuk mengambil uang modal awal pokok yang ia gunakan dan mengembalikan seluruh keuntungan yang diperolehnya.

tujuan umar melakukan hal itu adalah untuk menjaga integritasnya sebagai seorang pemimpin.umar bin khattab tidak ingin anaknya mengambil manfaat dari jabatan sang ayah,yang dapat memudahkannya dalam berbisnis dengan embel-embel ia adalah anak dari seorang khalifah.",bukan ujaran kebencian,suatu hari abdullah bin umar anak dari umar bin khattab pernah memiliki sebuah unta abdullah bin umar membeli sebuah unta yang teramat kurus setelah itu ia menggembalakannya di padang rumput di madinah pada suatu hari umar bin khattab sedang pergi menjalankan sebuah pemeriksaan lalu ia melihat seekor unta yang sangat gemuk umar bin khattab pun bertanya siapa pemilik unta itu kepada petugas yang ada di sana terkejutlah umar bin khattab setelah mengetahui bahwa pemilik unta itu adalah putranya sendiri abdullah bin umar bukannya senang umar bin khattab justru merasa geram umar pun mengutus salah satu anak buahnya untuk memanggil abdullah begitu abdullah tiba di hadapan sang ayah umar bin khattab pun menanyakan tentang unta gemuk milik sang anak abdullah kemudian menceritakan bahwa unta itu ia beli dengan uangnya sendiri yang kemudian diperdagangkan agar bisa mendapat keuntungan dari orang lain setelah mendengar penjelasan abdullah umar segera memerintahkan sang anak untuk mengambil uang modal awal pokok yang ia gunakan dan mengembalikan seluruh keuntungan yang diperolehnya tujuan umar melakukan hal itu adalah untuk menjaga integritasnya sebagai seorang pemimpin umar bin khattab tidak ingin anaknya mengambil manfaat dari jabatan sang ayah yang dapat memudahkannya dalam berbisnis dengan embel embel ia adalah anak dari seorang khalifah,"['suatu', 'hari', 'abdullah', 'bin', 'umar', 'anak', 'dari', 'umar', 'bin', 'khattab', 'pernah', 'memiliki', 'sebuah', 'unta', 'abdullah', 'bin', 'umar', 'membeli', 'sebuah', 'unta', 'yang', 'teramat', 'kurus', 'setelah', 'itu', 'ia', 'menggembalakannya', 'di', 'padang', 'rumput', 'di', 'madinah', 'pada', 'suatu', 'hari', 'umar', 'bin', 'khattab', 'sedang', 'pergi', 'menjalankan', 'sebuah', 'pemeriksaan', 'lalu', 'ia', 'melihat', 'seekor', 'unta', 'yang', 'sangat', 'gemuk', 'umar', 'bin', 'khattab', 'pun', 'bertanya', 'siapa', 'pemilik', 'unta', 'itu', 'kepada', 'petugas', 'yang', 'ada', 'di', 'sana', 'terkejutlah', 'umar', 'bin', 'khattab', 'setelah', 'mengetahui', 'bahwa', 'pemilik', 'unta', 'itu', 'adalah', 'putranya', 'sendiri', 'abdullah', 'bin', 'umar', 'bukannya', 'senang', 'umar', 'bin', 'khattab', 'justru', 'merasa', 'geram', 'umar', 'pun', 'mengutus', 'salah', 'satu', 'anak', 'buahnya', 'untuk', 'memanggil', 'abdullah', 'begitu', 'abdullah', 'tiba', 'di', 'hadapan', 'sang', 'ayah', 'umar', 'bin', 'khattab', 'pun', 'menanyakan', 'tentang', 'unta', 'gemuk', 'milik', 'sang', 'anak', 'abdullah', 'kemudian', 'menceritakan', 'bahwa', 'unta', 'itu', 'ia', 'beli', 'dengan', 'uangnya', 'sendiri', 'yang', 'kemudian', 'diperdagangkan', 'agar', 'bisa', 'mendapat', 'keuntungan', 'dari', 'orang', 'lain', 'setelah', 'mendengar', 'penjelasan', 'abdullah', 'umar', 'segera', 'memerintahkan', 'sang', 'anak', 'untuk', 'mengambil', 'uang', 'modal', 'awal', 'pokok', 'yang', 'ia', 'gunakan', 'dan', 'mengembalikan', 'seluruh', 'keuntungan', 'yang', 'diperolehnya', 'tujuan', 'umar', 'melakukan', 'hal', 'itu', 'adalah', 'untuk', 'menjaga', 'integritasnya', 'sebagai', 'seorang', 'pemimpin', 'umar', 'bin', 'khattab', 'tidak', 'ingin', 'anaknya', 'mengambil', 'manfaat', 'dari', 'jabatan', 'sang', 'ayah', 'yang', 'dapat', 'memudahkannya', 'dalam', 'berbisnis', 'dengan', 'embel', 'embel', 'ia', 'adalah', 'anak', 'dari', 'seorang', 'khalifah']",abdullah bin umar anak umar bin khattab memiliki unta abdullah bin umar membeli unta teramat kurus menggembalakannya padang rumput madinah umar bin khattab pergi menjalankan pemeriksaan seekor unta gemuk umar bin khattab pemilik unta petugas terkejutlah umar bin khattab pemilik unta putranya abdullah bin umar senang umar bin khattab geram umar mengutus salah anak buahnya memanggil abdullah abdullah hadapan sang ayah umar bin khattab unta gemuk milik sang anak abdullah menceritakan unta beli uangnya diperdagangkan keuntungan orang mendengar penjelasan abdullah umar memerintahkan sang anak mengambil uang modal pokok mengembalikan keuntungan diperolehnya tujuan umar menjaga integritasnya pemimpin umar bin khattab anaknya mengambil manfaat jabatan sang ayah memudahkannya berbisnis embel embel anak khalifah,abdullah bin umar anak umar bin khattab milik unta abdullah bin umar beli unta amat kurus gembala padang rumput madinah umar bin khattab pergi jalan periksa ekor unta gemuk umar bin khattab milik unta tugas kejut umar bin khattab milik unta putra abdullah bin umar senang umar bin khattab geram umar utus salah anak buah panggil abdullah abdullah hadap sang ayah umar bin khattab unta gemuk milik sang anak abdullah cerita unta beli uang dagang untung orang dengar jelas abdullah umar perintah sang anak ambil uang modal pokok kembali untung oleh tuju umar jaga integritas pimpin umar bin khattab anak ambil manfaat jabat sang ayah mudah bisnis embel embel anak khalifah,1
wonogiri siap ikut psi,bukan ujaran kebencian,wonogiri siap ikut psi,"['wonogiri', 'siap', 'ikut', 'psi']",wonogiri psi,wonogiri psi,1
"anti kelurga jokowi raja utang 😂apa"" mahal kebyakan lihat ke atas d bwah byk geladangan d jalanan",ujaran kebencian,anti kelurga jokowi raja utang apa mahal kebyakan lihat ke atas di bwah banyak geladangan di jalanan,"['anti', 'kelurga', 'jokowi', 'raja', 'utang', 'apa', 'mahal', 'kebyakan', 'lihat', 'ke', 'atas', 'di', 'bwah', 'banyak', 'geladangan', 'di', 'jalanan']",anti kelurga jokowi raja utang mahal kebyakan lihat bwah geladangan jalanan,anti kelurga jokowi raja utang mahal kebyakan lihat bwah gadang jalan,0
katanya ngga masuk politik😂,bukan ujaran kebencian,katanya tidak masuk politik,"['katanya', 'tidak', 'masuk', 'politik']",masuk politik,masuk politik,1
anak saya tak tertarik politik,bukan ujaran kebencian,anak aku tidak tertarik politik,"['anak', 'aku', 'tidak', 'tertarik', 'politik']",anak tertarik politik,anak tarik politik,1
"saya melihat, cara politik kaesang lebih unggul dari gibran,bobby bahkan presiden jokowi. calon pemimpin bangsa masa depan",bukan ujaran kebencian,aku melihat cara politik kaesang lebih unggul dari gibran bobby bahkan presiden jokowi calon pemimpin bangsa masa depan,"['aku', 'melihat', 'cara', 'politik', 'kaesang', 'lebih', 'unggul', 'dari', 'gibran', 'bobby', 'bahkan', 'presiden', 'jokowi', 'calon', 'pemimpin', 'bangsa', 'masa', 'depan']",politik kaesang unggul gibran bobby presiden jokowi calon pemimpin bangsa,politik kaesang unggul gibran bobby presiden jokowi calon pimpin bangsa,1
"dari dulu kamu suka menguliti presiden jokowi,dari dulu kamu suka menguliti presiden jokowi. kenapa kamu sekejam itu",bukan ujaran kebencian,dari dulu kamu suka menguliti presiden jokowi dari dulu kamu suka menguliti presiden jokowi kenapa kamu sekejam itu,"['dari', 'dulu', 'kamu', 'suka', 'menguliti', 'presiden', 'jokowi', 'dari', 'dulu', 'kamu', 'suka', 'menguliti', 'presiden', 'jokowi', 'kenapa', 'kamu', 'sekejam', 'itu']",suka menguliti presiden jokowi suka menguliti presiden jokowi sekejam,suka ulit presiden jokowi suka ulit presiden jokowi kejam,1
@kaesangp kalo bukan karna bapakmu sang.....😂😂 anak baru kmrn...,bukan ujaran kebencian,kalau bukan karena bapakmu sang anak baru kmrn,"['kalau', 'bukan', 'karena', 'bapakmu', 'sang', 'anak', 'baru', 'kmrn']",bapakmu sang anak kmrn,bapak sang anak kmrn,1
"heran aq, @kaesangp ikut psi kok pada ribut, ya terserah dia lah mau pilih partai apa.. aq mau tanya itu para pendukung2 pdi, yg blg dukung ganjar, itu nanti pas coblosan apa ya pasti pilih ganjar ? tau drmana kalau pilih ganjar ?",bukan ujaran kebencian,heran aq ikut psi kok pada ribut ya terserah dia lah mau pilih partai apa aku mau tanya itu para pendukung pendukung pdi yang bilang dukung ganjar itu nanti pas coblosan apa ya pasti pilih ganjar tau drmana kalau pilih ganjar,"['heran', 'aq', 'ikut', 'psi', 'kok', 'pada', 'ribut', 'ya', 'terserah', 'dia', 'lah', 'mau', 'pilih', 'partai', 'apa', 'aku', 'mau', 'tanya', 'itu', 'para', 'pendukung', 'pendukung', 'pdi', 'yang', 'bilang', 'dukung', 'ganjar', 'itu', 'nanti', 'pas', 'coblosan', 'apa', 'ya', 'pasti', 'pilih', 'ganjar', 'tau', 'drmana', 'kalau', 'pilih', 'ganjar']",heran aq psi ribut ya terserah pilih partai pendukung pendukung pdi bilang dukung ganjar pas coblosan ya pilih ganjar tau drmana pilih ganjar,heran aq psi ribut ya serah pilih partai dukung dukung pdi bilang dukung ganjar pas coblos ya pilih ganjar tau drmana pilih ganjar,1
mas psi gabung dukung mas ganjar aja partai anak muda dukung calon yg masih muda,bukan ujaran kebencian,kakak psi gabung dukung kakak ganjar saja partai anak muda dukung calon yang masih muda,"['kakak', 'psi', 'gabung', 'dukung', 'kakak', 'ganjar', 'saja', 'partai', 'anak', 'muda', 'dukung', 'calon', 'yang', 'masih', 'muda']",kakak psi gabung dukung kakak ganjar partai anak muda dukung calon muda,kakak psi gabung dukung kakak ganjar partai anak muda dukung calon muda,1
"2024 nooooooo banteng, 😂😂",ujaran kebencian,no banteng,"['no', 'banteng']",no banteng,no banteng,0
haha hanya kaesang yang membuat loyalis banteng ngamuk🤣🤣🤣,bukan ujaran kebencian,haha hanya kaesang yang membuat loyalis banteng ngamuk,"['haha', 'hanya', 'kaesang', 'yang', 'membuat', 'loyalis', 'banteng', 'ngamuk']",haha kaesang loyalis banteng ngamuk,haha kaesang loyalis banteng ngamuk,1
thanks mas kaesang untuk memperhatikan papua sama seperti yang dilakukan pak jokowi,bukan ujaran kebencian,terima kasih kakak kaesang untuk memperhatikan papua sama seperti yang dilakukan bapak jokowi,"['terima', 'kasih', 'kakak', 'kaesang', 'untuk', 'memperhatikan', 'papua', 'sama', 'seperti', 'yang', 'dilakukan', 'bapak', 'jokowi']",terima kasih kakak kaesang memperhatikan papua jokowi,terima kasih kakak kaesang perhati papua jokowi,1
bisa2 nya ga ada pengalaman politik jadi ketua umum partai 😂,bukan ujaran kebencian,bisa bisa nya tidak ada pengalaman politik jadi ketua umum partai,"['bisa', 'bisa', 'nya', 'tidak', 'ada', 'pengalaman', 'politik', 'jadi', 'ketua', 'umum', 'partai']",nya pengalaman politik ketua partai,nya alam politik ketua partai,1
jdi gk ngonten lg lah ?,bukan ujaran kebencian,jadi tidak ngonten lagi lah,"['jadi', 'tidak', 'ngonten', 'lagi', 'lah']",ngonten,ngonten,1
insyaallah jika 7 pemimpin ri sudah berkelanjutan  indonesia akan menemui bagdatun warobul ghofur gemah ripah loh jinawi tata tentram kerta rahajo  7 keturunan mataram insyaallah,bukan ujaran kebencian,insyaallah jika pemimpin ri sudah berkelanjutan indonesia akan menemui bagdatun warobul ghofur gemah ripah lah jinawi tata tentram kerta rahajo keturunan mataram insyaallah,"['insyaallah', 'jika', 'pemimpin', 'ri', 'sudah', 'berkelanjutan', 'indonesia', 'akan', 'menemui', 'bagdatun', 'warobul', 'ghofur', 'gemah', 'ripah', 'lah', 'jinawi', 'tata', 'tentram', 'kerta', 'rahajo', 'keturunan', 'mataram', 'insyaallah']",insyaallah pemimpin ri berkelanjutan indonesia menemui bagdatun warobul ghofur gemah ripah jinawi tata tentram kerta rahajo keturunan mataram insyaallah,insyaallah pimpin ri lanjut indonesia temu bagdatun warobul ghofur gemah ripah jawi tata tentram kerta rahajo turun mataram insyaallah,1
